experiment,scenario,label_cs,description,repeat,tickets_until_jackpot,spent_until_jackpot_eur,assumed_jackpot_payout_eur,approx_net_result_eur
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,102,32847400,65694800.0,120000000.0,54305200.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,103,28904944,57809888.0,120000000.0,62190112.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,104,32480700,64961400.0,120000000.0,55038600.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,105,38278620,76557240.0,120000000.0,43442760.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,106,83549636,167099272.0,120000000.0,-47099272.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,107,253225180,506450360.0,120000000.0,-386450360.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,108,231732355,463464710.0,120000000.0,-343464710.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,109,101661760,203323520.0,120000000.0,-83323520.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,110,53302375,106604750.0,120000000.0,13395250.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,111,182210376,364420752.0,120000000.0,-244420752.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,112,127116408,254232816.0,120000000.0,-134232816.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,113,155358575,310717150.0,120000000.0,-190717150.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,114,18845132,37690264.0,120000000.0,82309736.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,115,112514836,225029672.0,120000000.0,-105029672.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,116,135846014,271692028.0,120000000.0,-151692028.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,117,4608848,9217696.0,120000000.0,110782304.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,118,49075354,98150708.0,120000000.0,21849292.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,119,119327711,238655422.0,120000000.0,-118655422.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,120,10736,21472.0,120000000.0,119978528.0
